B0C4JMJBNX$Iron Flame (The Empyrean Book 2)$Rebecca Yarros$November 7, 2023$"$29.99"$"$14.99"$4.7$198,290 ratings$895 pages$English$Entangled: Red Tower Books (November 7, 2023)$MommaLayne$5.0 out of 5 stars$Escalating Challenges$Reviewed in the United States on September 26, 2024
B0CJ839C56$The Wedding People: A Novel$Alison Espach$July 30, 2024$"$28.99"$"$14.99"$4.4$11,062 ratings$355 pages$English$Henry Holt and Co. (July 30, 2024)$HF$5.0 out of 5 stars$Spectacular$Reviewed in the United States on September 30, 2024
B0CRV8HXJX$Tell Me Everything: Oprah's Book Club: A Novel$Elizabeth Strout$September 10, 2024$$"$14.99"$4.5$3,750 ratings$327 pages$English$Random House (September 10, 2024)$Reader$5.0 out of 5 stars$So real and beautiful$Reviewed in the United States on October 2, 2024
B08CHNCDN5$A Court of Silver Flames (A Court of Thorns and Roses Book 5)$Sarah J. Maas$February 16, 2021$"$15.20"$"$8.21"$4.8$175,788 ratings$768 pages$English$Bloomsbury Publishing; 1st edition (February 16, 2021)$MMG$5.0 out of 5 stars$A Thrilling Addition to the ACOTAR Series!$Reviewed in the United States on August 27, 2024
B075818VDG$A Court of Frost and Starlight (A Court of Thorns and Roses Book 4)$Sarah J. Maas$May 1, 2018$"$13.60"$"$8.30"$4.3$132,800 ratings$263 pages$English$Bloomsbury Publishing; 1st edition (May 1, 2018)$Jeanette$5.0 out of 5 stars$ACOFAS is worth reading & serves its purpose. My review is split into non spoiler & spoiler parts.$Reviewed in the United States on February 23, 2019
B0BVTXZXZJ$The Frozen River: A GMA Book Club Pick$Ariel Lawhon$December 5, 2023$"$28.00"$"$14.99"$4.6$30,797 ratings$420 pages$English$Doubleday (December 5, 2023)$Dadannac$5.0 out of 5 stars$A Must Read$Reviewed in the United States on August 20, 2024
B079JYG6D4$Kingdom of Ash (Throne of Glass Book 7)$Sarah J. Maas$October 23, 2018$"$16.80"$"$9.99"$4.8$88,762 ratings$988 pages$English$Bloomsbury Publishing; 1st edition (October 23, 2018)$Tiffany's TBR$5.0 out of 5 stars$Don't sleep on this series!$Reviewed in the United States on July 6, 2024
B0BGXYL3BZ$The Housemaid's Secret: A totally gripping psychological thriller with a shocking twist$Freida McFadden$February 20, 2023$"$12.99"$"$4.99"$4.4$205,242 ratings$316 pages$English$Bookouture (February 20, 2023)$Maddies$5.0 out of 5 stars$very good book!$Reviewed in the United States on September 15, 2024
B0CK7297CQ$Somewhere Beyond the Sea (Cerulean Chronicles Book 2)$TJ Klune$September 10, 2024$"$28.99"$"$14.99"$4.6$2,087 ratings$406 pages$English$Tor Books (September 10, 2024)$Tammy Moldovan$5.0 out of 5 stars$A beautifully, funny, profound masterpiece wrapped in a tale of love, family and acceptance$Reviewed in the United States on September 21, 2024
B093WB84G1$House of Sky and Breath (Crescent City Book 2)$Sarah J. Maas$February 15, 2022$"$15.20"$"$9.99"$4.7$90,770 ratings$807 pages$English$Bloomsbury Publishing; 1st edition (February 15, 2022)$Amazoner$5.0 out of 5 stars$Intense and mid-way$Reviewed in the United States on August 12, 2024
B0CXR6ZHLS$Wild Eyes$Elsie Silver$September 3, 2024$"$17.99"$"$5.99"$4.5$21,648 ratings$407 pages$English$Elsie Silver Literary Inc. (September 3, 2024)$The Swobodas$5.0 out of 5 stars$Elsie Silvers best work yet - So good!$Reviewed in the United States on September 5, 2024
B0DFHVZ7RR$Temptation Trails: A Small-Town Romance (The Haven Brothers Book 3)$Claire Kingsley$September 12, 2024$"$16.99"$"$5.99"$4.5$3,200 ratings$432 pages$English$Always Have, LLC (September 12, 2024)$Merrie$5.0 out of 5 stars$Great - As expected$Reviewed in the United States on September 13, 2024
B0D2GST88W$Lights Out: An Into Darkness Novel$Navessa Allen$August 6, 2024$"$9.99"$"$8.49"$4.6$11,439 ratings$455 pages$English$Zando – Slowburn (August 6, 2024)$Rose$5.0 out of 5 stars$Stalker RomCom with the perfect amount of darkness and spice$Reviewed in the United States on September 29, 2024
B0CK8CJM5D$Eruption: Instant #1 New York Times Bestseller$Michael Crichton$June 3, 2024$"$32.00"$"$15.99"$4.2$22,870 ratings$423 pages$English$Little, Brown and Company (June 3, 2024)$TJ Mobile Audio$5.0 out of 5 stars$Fast-Paced, Entertaining, Okay Science Themes$Reviewed in the United States on July 21, 2024
B0CFQ6KPDC$Good Energy: The Surprising Connection Between Metabolism and Limitless Health$Casey Means$May 14, 2024$"$32.00"$"$16.99"$4.6$1,476 ratings$399 pages$English$Avery (May 14, 2024)$nicholas graham$5.0 out of 5 stars$Great book!$Reviewed in the United States on September 25, 2024
B0CDWHN8FK$Just for the Summer$Abby Jimenez$April 2, 2024$"$17.99"$"$11.99"$4.6$51,477 ratings$424 pages$English$Forever (April 2, 2024)$Sarah Cox$5.0 out of 5 stars$My new fave Abby Jimenez book!$Reviewed in the United States on September 23, 2024
B0CKB8PQ43$Camino Ghosts: A Novel$John Grisham$May 28, 2024$$"$14.99"$4.5$27,163 ratings$295 pages$English$Doubleday (May 28, 2024)$sac$5.0 out of 5 stars$Another awesome story$Reviewed in the United States on September 26, 2024
B08BZ61HDF$A Kingdom of Flesh and Fire (Blood and Ash Book 2)$Jennifer L. Armentrout$September 1, 2020$$"$8.99"$4.7$62,807 ratings$637 pages$English$Blue Box Press (September 1, 2020)$Rosaura Guzman$5.0 out of 5 stars$⭐️5/5⭐️$Reviewed in the United States on October 7, 2021
B0CPDV9TP8$Death at the Sign of the Rook: A Jackson Brodie Book (Jackson Brodie Series 6)$Kate Atkinson$September 3, 2024$$"$14.99"$4.1$2,608 ratings$307 pages$English$Doubleday (September 3, 2024)$Boricuagal$5.0 out of 5 stars$A Fiendishly Clever Delight$Reviewed in the United States on September 20, 2024
B0CM5L5T6D$Five Brothers$Penelope Douglas$July 30, 2024$$"$2.99"$4.3$5,344 ratings$554 pages$English$Berkley (July 30, 2024)$LaShan Carr$5.0 out of 5 stars$Totally obsessed with Five Brothers!!!$Reviewed in the United States on September 19, 2024
B004IZLRU0$Night Road: A Novel$Kristin Hannah$March 22, 2011$"$17.99"$"$11.99"$4.5$46,365 ratings$396 pages$English$St. Martin's Press; First edition (March 22, 2011)$Jack Chappelear$5.0 out of 5 stars$Worth the read$Reviewed in the United States on September 26, 2024
B07D2C6J4K$The Silent Patient$Alex Michaelides$February 5, 2019$"$17.99"$"$12.99"$4.4$330,093 ratings$308 pages$English$Celadon Books (February 5, 2019)$dannielle stempinski$5.0 out of 5 stars$Love this book!$Reviewed in the United States on October 2, 2024
B0CLN9CRMF$The Unwanted Bride: An Arranged Marriage Romance (The Lasker Brothers)$Nadia Lee$September 20, 2024$$"$4.99"$4.5$1,861 ratings$374 pages$English$Four Isles Press (September 20, 2024)$Ceily T$5.0 out of 5 stars$More than I expected$Reviewed in the United States on September 23, 2024
B0CKJ75R53$The Forest of Lost Souls: A Novel$Dean Koontz$September 24, 2024$$"$9.99"$4.7$1,646 ratings$396 pages$English$Thomas & Mercer (September 24, 2024)$Kat$5.0 out of 5 stars$Always so insightful and amazing$Reviewed in the United States on October 2, 2024
B09PNM8FFN$Things We Never Got Over (Knockemout Book 1)$Lucy Score$January 13, 2022$$"$5.99"$4.5$204,605 ratings$562 pages$English$That's What She Said Publishing (January 13, 2022)$Michelle$5.0 out of 5 stars$Great Read!!!$Reviewed in the United States on August 16, 2024
